body,date,retweets,favorites,mentions,hashtags,geo
P.S. Deadpool is absolutely awesome! I love @RyanReynolds . So Fucking good. And annoyingly hot.,2016-02-21 18:58:53,0,0,@RyanReynolds,,
Seeing Deadpool for the second time.,2016-02-21 18:58:52,0,0,,,
Anyone wanna go see deadpool with me??,2016-02-21 18:58:49,0,2,,,
Minha mãe viu a foto do deadpool de zoera q ta rolando pra compartilhar e ajuda ele a conseguir uma cirurgia ela compartilhou KKKKKKKKK,2016-02-21 18:58:48,0,0,,,
I refuse to see deadpool because he's #TeamCap,2016-02-21 18:58:48,0,0,,#TeamCap,
Deadpool was meh.,2016-02-21 18:58:47,0,0,,,
Lo mejor de Deadpool es el sountrack,2016-02-21 18:58:47,0,1,,,
#DeadPool was amazing!!!!! Fucking hilarious,2016-02-21 18:58:42,5,28,,#DeadPool,
"Al final la novia muere, pero los malos la reviven y la vuelven mala y quiere matar a deadpool https:// twitter.com/MZitterkopf/st atus/701554234265886720 …",2016-02-21 18:58:39,0,0,,,
"deadpool was aight, but now i have that salt n pepa song stuck in my head",2016-02-21 18:58:37,0,4,,,
Aviso a @elisasg12 de que en @defanafan sortean merchandising de #Deadpool . Mas info en http:// goo.gl/bQOmLV,2016-02-21 18:58:37,0,2,@elisasg12 @defanafan,#Deadpool,
"Quase n falei de Deadpool , então vou falar agora, cuidado pq posso ou n dar spoilers",2016-02-21 18:58:36,0,0,,,
@GUNNAROptiks Make a Deadpool one and im buying right now,2016-02-21 18:58:36,0,0,@GUNNAROptiks,,
Soy de ese pequeño 1% de mis amigos que no ha visto deadpool,2016-02-21 18:58:36,0,0,,,
Qué buena película fue deadpool les juro tienen que verla si o si porque no se van a arrepentir ajá yo haciéndole más publicidad pero si,2016-02-21 18:58:32,0,0,,,
deadpool spoilers/// GUYS THE BABY HAND SCENE HAD ME ON THE FLOOR,2016-02-21 18:58:32,0,3,,,
"Vi deadpool hoje, curti demaiss",2016-02-21 18:58:31,0,0,,,
"Dallas BBQ before (hence the bloaty faces). Now, Deadpool fo free! Missed our chance last time,… https://www. instagram.com/p/BCEU4SCkxiD/",2016-02-21 18:58:29,0,1,,,
Adesso che è uscito il film di deadpool ho qualsiasi social che trabocca di fanart e cose riguardanti lui. ASPETTAVOSOLOQUESTOMOMENTOGRAZIE,2016-02-21 18:58:28,0,2,,,
"@Juanpederasta subnormal dice el friki que tiene a Deadpool , te tenes que reír macho.",2016-02-21 18:58:28,0,3,@Juanpederasta,,
madsmc11: Saw the Deadpool movie the other day and loved it! I loved every single character in this... http:// tmblr.co/Zmyf5l22A0zn9,2016-02-21 18:58:28,0,0,,,
@Real_Liam_Payne Liam you ever seen Deadpool ??,2016-02-21 18:58:27,0,0,@Real_Liam_Payne,,
Watched deadpool today - loved it! Way better than I expected!,2016-02-21 18:58:26,0,0,,,
