username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
BarackObama;2016-10-04 16:30;685;2664;"Enough is enough. Say it's time for Senate leaders to get to work: http:// ofa.bo/2dtojUl #DoYourJob";;;#DoYourJob;"783404014054412288";https://twitter.com/BarackObama/status/783404014054412288
BarackObama;2016-10-04 14:28;2038;7056;""Everybody cares about their kids, their grandkids, and the kind of world we pass on to them." —President Obama http://www. snappytv.com/tc/2936623";;;;"783373180861767681";https://twitter.com/BarackObama/status/783373180861767681
BarackObama;2016-10-04 12:53;743;3400;"Take what matters with you. http:// ofa.bo/2cQauS4 pic.twitter.com/KJJdkE8DML";;;;"783349420951674880";https://twitter.com/BarackObama/status/783349420951674880
BarackObama;2016-10-04 11:08;1642;6440;"We've come a long way, but the fight for fairness and an economy that works for everyone continues. pic.twitter.com/WWRhZHwYWE";;;;"783322842955862020";https://twitter.com/BarackObama/status/783322842955862020
BarackObama;2016-10-03 14:24;122570;311742;"Side-by-side for 24 years. Here's to many more. #HappyAnniversary pic.twitter.com/nh8Xfc7IWU";;;#HappyAnniversary;"783009809356304385";https://twitter.com/BarackObama/status/783009809356304385
BarackObama;2016-10-03 11:30;464;1945;"Facts matter. Stay informed with the @OFA Truth Team: http:// ofa.bo/2dmTBfV";;@OFA;;"782966115248910337";https://twitter.com/BarackObama/status/782966115248910337
BarackObama;2016-10-01 10:46;824;3662;"In the weekly address, President Obama discusses why access to paid leave is so important. http:// ofa.bo/2dEyet9 #LeadOnLeave";;;#LeadOnLeave;"782230260767084545";https://twitter.com/BarackObama/status/782230260767084545
BarackObama;2016-09-30 17:32;2242;8592;"Parents shouldn't have to choose between a paycheck and taking care of a sick child at home. #LeadOnLeave pic.twitter.com/FF4hTkgOZy";;;#LeadOnLeave;"781970043894632448";https://twitter.com/BarackObama/status/781970043894632448
BarackObama;2016-09-30 16:11;2067;5263;"After thirty years in Congress, Senator, this should not be your proudest accomplishment. http:// ofa.bo/2dBY0hA #DoYourJob pic.twitter.com/TIL8ISwdKd";;;#DoYourJob;"781949494631858176";https://twitter.com/BarackObama/status/781949494631858176
BarackObama;2016-09-30 13:47;967;3428;"We need a fully functioning Supreme Court. Speak up if you agree it's time for a hearing and a vote: http:// ofa.bo/2d1GSgf #DoYourJob";;;#DoYourJob;"781913425496662016";https://twitter.com/BarackObama/status/781913425496662016
BarackObama;2016-09-30 11:57;3182;9881;"There has never been a more qualified nominee, Senate leaders. He deserves a fair hearing and a vote. #DoYourJob pic.twitter.com/qtzcY3iwyl";;;#DoYourJob;"781885668016332800";https://twitter.com/BarackObama/status/781885668016332800
BarackObama;2016-09-29 17:55;1072;3608;"It's the Senate's job to fairly consider Supreme Court nominees. Their refusal to do so is unacceptable: http:// ofa.bo/2cZAI0q #DoYourJob";;;#DoYourJob;"781613479589470208";https://twitter.com/BarackObama/status/781613479589470208
BarackObama;2016-09-29 15:41;673;2811;""Everybody gets sick." Check out what President Obama is doing to extend access to paid sick leave: http:// ofa.bo/2cEHvAx #LeadOnLeave";;;#LeadOnLeave;"781579567358095360";https://twitter.com/BarackObama/status/781579567358095360
BarackObama;2016-09-29 12:33;1345;5513;"Never underestimate the strength and resilience of the American economy. pic.twitter.com/OFTN2FlRtq";;;;"781532250143719424";https://twitter.com/BarackObama/status/781532250143719424
BarackObama;2016-09-28 13:49;360;1537;"The @OFA Truth Team makes it easy to stay informed. Join today: http:// ofa.bo/2d4UB8e";;@OFA;;"781189166126264321";https://twitter.com/BarackObama/status/781189166126264321
BarackObama;2016-09-28 11:16;3145;11008;"This is no accident—we're making a comeback because together, we've fought hard to support American families. pic.twitter.com/LTk7SiTexP";;;;"781150531943211010";https://twitter.com/BarackObama/status/781150531943211010
BarackObama;2016-09-27 17:04;2610;7123;"We're better off than we were eight years ago. pic.twitter.com/OwrTM3V78t";;;;"780875664953978881";https://twitter.com/BarackObama/status/780875664953978881
BarackObama;2016-09-27 15:42;1060;3397;"Household incomes are up, and the poverty rate is down across all demographics. http:// ofa.bo/2d1pZV0";;;;"780855089946726400";https://twitter.com/BarackObama/status/780855089946726400
BarackObama;2016-09-27 12:57;2858;8416;"As long as Senate leaders keep refusing to do their jobs, @OFA supporters will continue speaking out against their obstruction. #DoYourJob pic.twitter.com/xrz67jh1HV";;@OFA;#DoYourJob;"780813534376538112";https://twitter.com/BarackObama/status/780813534376538112
BarackObama;2016-09-27 11:28;858;2728;"Senate leaders have blocked Judge Garland's hearing for over six months now. Keep pushing: http:// ofa.bo/2d6yD5J #DoYourJob";;;#DoYourJob;"780791269060595712";https://twitter.com/BarackObama/status/780791269060595712
BarackObama;2016-09-26 16:58;1007;3467;"Important, tough conversations require solid facts. Get them from the @OFA Truth Team: http:// ofa.bo/2cY11WE pic.twitter.com/dD1EPgaA9W";;@OFA;;"780511904485605376";https://twitter.com/BarackObama/status/780511904485605376
BarackObama;2016-09-26 14:59;2372;7340;"These are high praises from the American Bar Association—and yet, Senate leaders refuse to even consider Judge Garland. #MerricksMerits pic.twitter.com/tXakoNmYFu";;;#MerricksMerits;"780481839177748480";https://twitter.com/BarackObama/status/780481839177748480
BarackObama;2016-09-26 13:27;760;2325;"Senate leaders' unprecedented obstruction of the Supreme Court nomination must end. Your voice matters: http:// ofa.bo/2cXrKCL #DoYourJob";;;#DoYourJob;"780458668122791936";https://twitter.com/BarackObama/status/780458668122791936
BarackObama;2016-09-26 11:55;1447;4428;"The American people are waiting for Senate leaders to do their jobs. pic.twitter.com/LNqAQpxMle";;;;"780435649971167232";https://twitter.com/BarackObama/status/780435649971167232
BarackObama;2016-09-23 17:12;799;2431;"Senate leaders have blocked Judge Garland's hearing for over six months now. Keep pushing: http:// ofa.bo/2cJwSYX #DoYourJob";;;#DoYourJob;"779428314012200960";https://twitter.com/BarackObama/status/779428314012200960
BarackObama;2016-09-23 16:05;2155;6853;"Senate leaders need to work for the good of the American people, not seek out political points. pic.twitter.com/Tdx3xk6gYi";;;;"779411464830320640";https://twitter.com/BarackObama/status/779411464830320640
BarackObama;2016-09-23 15:03;474;1675;"Watch President Obama and @CEAChair Jason Furman discuss the positive gains the American economy has made. http:// ofa.bo/2ctwCBa";;@CEAChair;;"779395875239895042";https://twitter.com/BarackObama/status/779395875239895042
BarackObama;2016-09-23 14:02;4333;7020;"Here are 16 broken records we shouldn't be proud of. pic.twitter.com/x98dGgEloW";;;;"779380553334140932";https://twitter.com/BarackObama/status/779380553334140932
BarackObama;2016-09-23 12:57;465;1579;"Stay informed. Stay engaged. Speak up. Join the @OFA Truth Team: http:// ofa.bo/2cMYuhR";;@OFA;;"779363981177843712";https://twitter.com/BarackObama/status/779363981177843712
