0,Compound_Score,Negative_Score,Positive_Score,Neutral_Score
new happy death day frightens runner box office,-0.4404,0.431,0.242,0.327
hi awake still liked happy death day go watch,0.3818,0.238,0.396,0.366
blade runner released week happy death day,-0.0516,0.31,0.294,0.397
happy death day scares box associated press via nyt,-0.3818,0.394,0.231,0.375
wait thought happy death day,-0.0516,0.368,0.349,0.283
happy death day movie review,-0.0516,0.368,0.349,0.283
happy death day,-0.0516,0.453,0.43,0.116
cannibal cookbook,0.0,0.0,0.0,1.0
happy death day frightens runner box office,-0.4404,0.462,0.259,0.28
happy death day scares box associated press via nyt,-0.3818,0.394,0.231,0.375
happy death day marston wonder,-0.0516,0.368,0.349,0.283
happy death day scares box office,-0.3818,0.485,0.285,0.231
happy death day desplaza en taquilla,-0.0516,0.336,0.319,0.345
thank god happy death day stop seeing trailer everywhere fucking look,0.296,0.299,0.407,0.294
happy death day im gonna watch birthday laterr,-0.0516,0.287,0.272,0.441
box office happy death day,-0.0516,0.368,0.349,0.283
happy death day ahuyenta en la,-0.0516,0.336,0.319,0.345
happy death day ahuyenta en la,-0.0516,0.336,0.319,0.345
somebody go see happy death day,-0.0516,0.336,0.319,0.345
watching happy death day rave motion pictures,-0.0516,0.31,0.294,0.397
news happy death day another win universal blumhouse,0.5574,0.238,0.457,0.305
news happy death day komt er zo goed als zeker,-0.0516,0.25,0.237,0.513
happy birthday tune lately stuck head trailers happy death day,0.3612,0.306,0.383,0.311
latest reporter daily,0.0,0.0,0.0,1.0
somebody wants see happy death day w lmk,-0.0516,0.31,0.294,0.397
happy death day,-0.0516,0.453,0.43,0.116
happy death day beats blade second week earnings third blumhouse success,0.5423,0.202,0.383,0.415
oh happy death day scary whatsoever movie ever lmao,0.128,0.36,0.386,0.254
wants see happy death day today,-0.0516,0.336,0.319,0.345
demis watching happy death day good,0.4019,0.289,0.489,0.222
someone see happy death day,-0.0516,0.368,0.349,0.283
happy death day scares box associated press via nyt,-0.3818,0.394,0.231,0.375
singing commercial madison,0.0,0.0,0.0,1.0
happy death day ahuyenta de primer lugar,-0.0516,0.31,0.294,0.397
go see,0.0,0.0,0.0,1.0
happy death day horror overtakes blade runner box new,-0.5994,0.439,0.214,0.347
wanna go watch happy death day,-0.0516,0.336,0.319,0.345
confident plays happy death day omg,0.6124,0.264,0.601,0.135
happy death day great movie recommend everybody go see,0.7506,0.203,0.536,0.26
ver happy death day,-0.0516,0.406,0.385,0.208
happy death day frightens runner box office,-0.4404,0.462,0.259,0.28
happy death day review,-0.0516,0.406,0.385,0.208
happy death day scares box office,-0.3818,0.485,0.285,0.231
happy death day komt er zo goed als zeker,-0.0516,0.267,0.253,0.479
happy death day ahuyenta de primer lugar ap la de terror happy death day,-0.5859,0.406,0.268,0.326
say,0.0,0.0,0.0,1.0
happy death day frightens runner box office,-0.4404,0.462,0.259,0.28
added video playlist happy death day movie review maniacal cinephile,-0.128,0.327,0.233,0.44
happy death day movie review maniacal cinephile nice review andy,0.3182,0.294,0.367,0.339
get movie tickets minutes,0.0,0.0,0.0,1.0
happy death day frightens runner box office,-0.4404,0.462,0.259,0.28
peter said happy death day looks,-0.0516,0.336,0.319,0.345
tou c pica td pra ir ver happy death day,-0.0516,0.267,0.253,0.479
blumhouse plenty smile happy death day scares via,-0.0258,0.382,0.376,0.242
horror reigns happy death day tops domestic box office,-0.1531,0.388,0.357,0.255
saw happy death day last night remember second,-0.0516,0.287,0.272,0.441
omg ima go see happy death day tonight,-0.0516,0.287,0.272,0.441
happy watched happy death day,0.5423,0.293,0.556,0.15
happy death day kills box office competition,-0.5719,0.49,0.245,0.265
happy death day scares box office congratulations well done film,0.5267,0.3,0.462,0.238
podcast want hear thoughts happy death day,0.0258,0.302,0.388,0.31
box happy death day crushes runner million,-0.4767,0.469,0.255,0.276
happy death day najgledaniji u kinima protekli runner,-0.0516,0.31,0.294,0.397
happy death day scares box associated press via nyt,-0.3818,0.394,0.231,0.375
hearing happy death day good like,0.6369,0.26,0.607,0.133
wanna go see happy death day,-0.0516,0.336,0.319,0.345
right happy death day actually really fucking great,0.6674,0.226,0.485,0.289
happy death day soooo good,0.4019,0.312,0.528,0.16
sobrang ganda ng parang gusto ko ulit sa happy death day,-0.0516,0.235,0.223,0.542
someone come see happy death day,-0.0516,0.336,0.319,0.345
latest owntv fans,0.0,0.0,0.0,1.0
happy death day tonight,-0.0516,0.406,0.385,0.208
happy death day movie north america,-0.0516,0.336,0.319,0.345
happy death day,-0.0516,0.453,0.43,0.116
happy death day scares box associated press via nyt,-0.3818,0.394,0.231,0.375
hella hoping happy death day sequel bc director said explaining time,0.4419,0.216,0.368,0.416
anyone seen happy death day u dm tell trying kill want waste time curious,-0.7269,0.444,0.284,0.272
happy death day know marie,-0.0516,0.368,0.349,0.283
change seeing happy death day two hours today insted still excited,0.296,0.217,0.339,0.444
happy death day,-0.0516,0.453,0.43,0.116
happy death day sits worldwide tiny huge hit week,0.2732,0.245,0.377,0.377
laissez bronzer les cadavres stray nightingale endless revenge happy death day,-0.5574,0.384,0.195,0.421
week go enjoy,0.4939,0.0,0.615,0.385
someone go watch happy death day,-0.0516,0.336,0.319,0.345
happy death day another win universal blumhouse,0.5574,0.253,0.487,0.26
need see happy death day,-0.0516,0.368,0.349,0.283
nigga jus tweeted n spoiled happy death day movie n im tryna act like aint see lmfaoooo im pissed,-0.4404,0.297,0.227,0.476
new happy death day frightens runner box office,-0.4404,0.431,0.242,0.327
junior class outing movies around see happy death day extra credit,0.34,0.214,0.346,0.44
new episode talk,0.0,0.0,0.0,1.0
blade runner loses box office spot happy death day,-0.3612,0.39,0.233,0.377
box happy death day crushes runner million,-0.4767,0.469,0.255,0.276
went advance screening going couple hours,0.0,0.0,0.0,1.0
want see happy death day,0.0258,0.358,0.459,0.183
happy death day conquers weekend box office tom american made falls downward charts,-0.0516,0.21,0.199,0.591
watching happy death day birthday,-0.0516,0.368,0.349,0.283
ahaha hoping agree watch happy death day loool,0.6249,0.231,0.533,0.237
death day butterfly effect,-0.5994,0.565,0.0,0.435
happy death day carves million opening box office,-0.0516,0.287,0.272,0.441
happy death day movie north america,-0.0516,0.336,0.319,0.345
happy death day like ground hogs day version horror movie im interested seeing,0.0772,0.31,0.363,0.327
neutral,0.0,0.0,0.0,1.0
love horror movies first paranormal movies happy death day actually looks pretty watch first,0.5423,0.274,0.401,0.325
box office top,0.2023,0.0,0.474,0.526
happy death day scares box office,-0.3818,0.485,0.285,0.231
happy death day good movie,0.4019,0.312,0.528,0.16
happy death day frightens runner box office,-0.4404,0.462,0.259,0.28
happy death day sooo,-0.0516,0.406,0.385,0.208
really enjoyed right killer chocolate milk,-0.2431,0.375,0.296,0.329
want see happy death day since trailer came never find day friends go ugh tell,-0.6433,0.382,0.206,0.412
box office happy death day crushes allen million,-0.4767,0.439,0.239,0.323
looks top weekend box office estimated,0.2023,0.0,0.265,0.735
happy death day spooks runner box office,-0.0516,0.31,0.294,0.397
happy death day frightens runner box office horror pic happy death day,-0.7783,0.514,0.268,0.217
happy death day another win universal blumhouse,0.5574,0.253,0.487,0.26
need see happy death day,-0.0516,0.368,0.349,0.283
box happy death day wins weekend boffo debut,0.5423,0.239,0.454,0.307
happy death day another win universal blumhouse,0.5574,0.253,0.487,0.26
happy death day carves million opening box office,-0.0516,0.287,0.272,0.441
one watched movie happy death day,-0.0516,0.336,0.319,0.345
happy death day good,0.4019,0.339,0.574,0.087
wanna see happy death day today,-0.0516,0.336,0.319,0.345
paranormal happy death day pure trash horror movies white bread vanilla normies,-0.5994,0.374,0.182,0.443
movie review cute movie would ebenezer sphincter knew enjoyed cent da musical docking major,0.743,0.0,0.344,0.656
need see happy death day asap,-0.0516,0.336,0.319,0.345
weekend box another win horror,0.0258,0.352,0.362,0.286
weekend,0.0,0.0,0.0,1.0
box happy death day crushes runner,-0.4767,0.504,0.274,0.222
happy death day new blair probably hate one favorites,-0.2732,0.398,0.34,0.262
top happy death day ghost forma del,-0.1779,0.422,0.374,0.204
happy death day stands among weak lineup wide releases bench,-0.4767,0.389,0.211,0.4
trying watch boo happy death day weekend,-0.0516,0.31,0.294,0.397
happy death day scares box office,-0.3818,0.485,0.285,0.231
happy death day stands among weak lineup wide releases,-0.4767,0.412,0.224,0.364
box crushes,-0.4404,0.744,0.0,0.256
happy death day debuts excellent,0.5423,0.293,0.556,0.15
happy death day stands among weak lineup wide releases,-0.4767,0.412,0.224,0.364
happy death day opened million opening screens,-0.0516,0.31,0.294,0.397
happy death day,-0.0516,0.453,0.43,0.116
box new movies happy death day box office sales,-0.0516,0.267,0.253,0.479
happy death day trailers,-0.0516,0.406,0.385,0.208
vo happy death day feliz,-0.0516,0.368,0.349,0.283
excited see happy death day,0.296,0.325,0.508,0.167
films like happy death day cater people real taste good,0.6369,0.205,0.479,0.316
whenever someone says movie smart appropriate roll eyes,0.4019,0.0,0.278,0.722
happy death day scares box office,-0.3818,0.485,0.285,0.231
happy death day stands among weak lineup wide releases,-0.4767,0.412,0.224,0.364
box office happy death day,-0.0516,0.368,0.349,0.283
frightens box office,-0.4019,0.574,0.0,0.426
u watch happy death day movie u block,-0.4767,0.504,0.274,0.222
happy death day good movie,0.4019,0.312,0.528,0.16
happy death day also really funny times,0.4576,0.264,0.466,0.27
ready happy death day,0.3182,0.351,0.559,0.09
looking enjoyable nimble horror movie might need,-0.2023,0.319,0.25,0.431
watching happy death day heard good things deciding check,0.4019,0.236,0.4,0.364
happy death day stands among weak lineup wide releases los angeles,-0.4767,0.368,0.2,0.432
happy death day stands among weak lineup wide releases,-0.4767,0.412,0.224,0.364
happy death day,-0.0516,0.453,0.43,0.116
box happy death day celebrates,0.5423,0.293,0.556,0.15
anyone seen happy death day,-0.0516,0.368,0.349,0.283
reviews,0.0,0.0,0.0,1.0
tryna go see happy death day tryna come,-0.0516,0.287,0.272,0.441
wanna get outta bed really wanna see happy death day,0.0164,0.246,0.25,0.504
quiero ver happy death day,-0.0516,0.368,0.349,0.283
happy death day scares box office wtop via,-0.3818,0.42,0.247,0.333
nuestro top sin orden bridsby bear mom dad wind river brawl block cell happy death day,-0.7096,0.387,0.204,0.409
watching always check date phone wake,0.0,0.0,0.0,1.0
happy death day another win universal blumhouse,0.5574,0.253,0.487,0.26
happy death day scares,-0.3818,0.573,0.336,0.091
like wanna see happy death day,0.3182,0.298,0.473,0.229
maniacal cinephile reviews,-0.0772,0.394,0.0,0.606
happy death day vizyonda ben evde,-0.0516,0.336,0.319,0.345
happy death day debuts excellent million,0.5423,0.273,0.517,0.21
happy death day another win universal blumhouse,0.5574,0.253,0.487,0.26
weekend box october happy death day tops box office estimated million,0.4767,0.206,0.37,0.423
confident movie happy death day love single day receives pop culture acclaim commercial success,0.8979,0.141,0.534,0.325
neutral,0.0,0.0,0.0,1.0
andy wade major talk happy death day,-0.0516,0.31,0.294,0.397
ez de vettem csak h senkinek sem jutott happy death day official trailer,0.3182,0.204,0.325,0.471
strength perhaps makers happy death day invited join,0.6369,0.229,0.535,0.235
happy death day stands among weak lineup wide releases,-0.4767,0.412,0.224,0.364
watching happy death day see bei movies inc,-0.0516,0.287,0.272,0.441
go see,0.0,0.0,0.0,1.0
debuts excellent million,0.5719,0.0,0.649,0.351
smile go see happy death day disgrace film,-0.2263,0.41,0.358,0.231
happy death day stands among weak lineup wide releases click full,-0.4767,0.368,0.2,0.432
movie family,0.0,0.0,0.0,1.0
happy death day movie via,-0.0516,0.368,0.349,0.283
liked video minecraft happy death day keeps killing minecraft scary roleplay,-0.7184,0.479,0.271,0.25
weekend box happy death day blows competition,-0.0516,0.31,0.294,0.397
happy death day another win,0.5574,0.291,0.56,0.149
lisa la enjoy fun,0.7579,0.0,0.765,0.235
happy death day scares box office,-0.3818,0.485,0.285,0.231
box happy death day crushes runner million,-0.4767,0.469,0.255,0.276
also saw happy death day,-0.0516,0.368,0.349,0.283
someone plz take see happy death day since friends decided get grounded,0.4939,0.195,0.405,0.4
ho aggiunto un video una playlist di happy death day eat cupcakes,-0.0516,0.222,0.21,0.568
happy death day actually good movie,0.4019,0.289,0.489,0.222
watch happy death day must watch,-0.0516,0.336,0.319,0.345
happy death day another win universal blumhouse,0.5574,0.253,0.487,0.26
anyone thinks happy death day better clearly shit,0.2023,0.379,0.47,0.152
church w happy death day perfect sunday,0.5423,0.273,0.517,0.21
box happy death day crushes runner million,-0.4767,0.469,0.255,0.276
wanna go see happy death day asap,-0.0516,0.31,0.294,0.397
still dont understand kept reliving,0.0,0.0,0.0,1.0
wanna watch happydeathday tmr im going kill anyone thats asking stay back sch,-0.6908,0.281,0.0,0.719
box happy death day crushes runner million reuters,-0.4767,0.439,0.239,0.323
excellent million thats another win,0.8176,0.0,0.714,0.286
seen happy death day wants see,-0.0516,0.336,0.319,0.345
weekend box happy death day another win horror,-0.0258,0.398,0.393,0.209
weekend box death another win horror,-0.5859,0.528,0.264,0.208
happy death day good,0.4019,0.339,0.574,0.087
box happy death day crushes runner million,-0.4767,0.469,0.255,0.276
wants go see happy death day,-0.0516,0.336,0.319,0.345
happy death day another win universal blumhouse,0.5574,0.253,0.487,0.26
box happy death day scares blade runner via,-0.3818,0.42,0.247,0.333
wanna see happy death day,-0.0516,0.368,0.349,0.283
happy death day stands among weak lineup wide releases,-0.4767,0.412,0.224,0.364
happy death day crushes runner million,-0.4767,0.504,0.274,0.222
happy death day another win universal blumhouse,0.5574,0.253,0.487,0.26
neutral,0.0,0.0,0.0,1.0
happy death day another win universal blumhouse,0.5574,0.253,0.487,0.26
neutral,0.0,0.0,0.0,1.0
happy death day another win universal blumhouse,0.5574,0.253,0.487,0.26
studio weekend happy death day gets happy news,0.5423,0.239,0.454,0.307
happy death day kills box office competition,-0.5719,0.49,0.245,0.265
weekend box happy death day another win horror hollywood reporter,-0.0258,0.36,0.355,0.284
happy death day,-0.0516,0.453,0.43,0.116
yeah like gave groundhog day years without ripping floodgates happy death day,-0.4936,0.352,0.24,0.408
ver happy death day mil veces,-0.0516,0.336,0.319,0.345
happy death day today,-0.0516,0.406,0.385,0.208
want see happy death day,0.0258,0.358,0.459,0.183
oh yeah saw happy death day last terrible amazing,0.4019,0.338,0.469,0.193
means seen happy death day wants see,-0.0516,0.31,0.294,0.397
seeing happy death day fun away love,0.8074,0.215,0.619,0.166
happy death day much fun ooh god,0.6369,0.244,0.569,0.188
watched happy death day birthday good expected,0.4019,0.269,0.455,0.276
wanna go see happy death day pay,-0.1531,0.408,0.285,0.308
happy death day another win universal blumhouse mark another win,0.8126,0.184,0.533,0.283
happy death day another win universal blumhouse,0.5574,0.253,0.487,0.26
happy death day debuts excellent million,0.5423,0.273,0.517,0.21
happy death day debuts excellent million,0.5423,0.273,0.517,0.21
happy death day sucks booty,-0.4019,0.529,0.306,0.165
box happy death day crushes runner million,-0.4767,0.469,0.255,0.276
happy death day saw pretty animation odd,0.1779,0.385,0.429,0.186
thank much saving trip happy death day may possibly give mlp,0.3182,0.215,0.343,0.442
anyone trying see happy death day,-0.0516,0.336,0.319,0.345
litty happy death day,-0.0516,0.406,0.385,0.208
box happy death day crushes runner million,-0.4767,0.469,0.255,0.276
beats impressive million opening blade runner sits,0.5106,0.0,0.355,0.645
happy death day pretty good,0.7096,0.265,0.667,0.068
studio weekend happy death day gets happy news,0.5423,0.239,0.454,0.307
wanna go watch,0.0,0.0,0.0,1.0
hear happy death day pretty need something serious little,0.4019,0.304,0.404,0.292
box happy death day crushes runner million embalajedigital,-0.4767,0.439,0.239,0.323
easily wins weekend box office,0.7269,0.0,0.67,0.33
liked video things happy death day movie,0.3818,0.271,0.451,0.278
easily wins weekend box office,0.7269,0.0,0.67,0.33
easily wins weekend box office,0.7269,0.0,0.67,0.33
quer ir ver happy death day flatliners ou cars,-0.0516,0.267,0.253,0.479
happy death day greatest comedy movie ever seen since twilight,0.7579,0.192,0.512,0.296
box happy death day crushes runner million reuters,-0.4767,0.439,0.239,0.323
happy death day box office beats ffs ppl give first,-0.6124,0.418,0.201,0.38
happy death day lacked think liked mlp much really expecting,0.3818,0.224,0.374,0.402
happy death day scares box office,-0.3818,0.485,0.285,0.231
happy death day debuts excellent million,0.5423,0.273,0.517,0.21
happy death day debuts excellent million mark n tompkins,0.5423,0.239,0.454,0.307
happy death day debuts excellent million,0.5423,0.273,0.517,0.21
happy death day ahuyenta de primer lugar,-0.0516,0.31,0.294,0.397
box happy death day crushes runner million,-0.4767,0.469,0.255,0.276
rlly wanna go see happy death day movie date,-0.0516,0.267,0.253,0.479
happy death day tiny budget million made huge hit,0.2732,0.245,0.377,0.377
happy death day weekend box raking million beating blade runner made,-0.4939,0.371,0.199,0.43
happy death day stands among weak lineup wide releases,-0.4767,0.412,0.224,0.364
box happy death day crushes runner million,-0.4767,0.469,0.255,0.276
vim shopping assistir happy death day,-0.0516,0.336,0.319,0.345
watched still watched world wrong,-0.4767,0.437,0.0,0.563
need see happy death day,-0.0516,0.368,0.349,0.283
box happy death day crushes runner million,-0.4767,0.469,0.255,0.276
box happy death day crushes runner million,-0.4767,0.469,0.255,0.276
happy death day debuts excellent million,0.5423,0.273,0.517,0.21
happy death day debuts excellent million,0.5423,0.273,0.517,0.21
happy death day runner deserve everything really,-0.0516,0.31,0.294,0.397
box happy death day crushes runner million,-0.4767,0.469,0.255,0.276
omg read killer happy death day true fucking knew lmfaooo idk true,-0.144,0.392,0.37,0.238
feel pressured go see well box office,0.0516,0.211,0.233,0.556
need see happy death day,-0.0516,0.368,0.349,0.283
rt reuters box happy death day crushes runner million,-0.4767,0.412,0.224,0.364
happy death day ahuyenta blade runner de primer lugar,-0.0516,0.267,0.253,0.479
okay wants see happy death day,0.1779,0.312,0.448,0.24
suppose go movies see happy death day,-0.0516,0.31,0.294,0.397
box happy death day crushes runner million,-0.4767,0.469,0.255,0.276
happy death day scares box office,-0.3818,0.485,0.285,0.231
suka cobain happy death day,-0.0516,0.368,0.349,0.283
somehow get chirped powered,0.0,0.0,0.0,1.0
box happy death day crushes runner million,-0.4767,0.469,0.255,0.276
retweeted box office mojo weekend,0.0,0.0,0.0,1.0
happy death day legit hilarious wanna see lmao,0.7506,0.214,0.566,0.22
happy death day scares box office,-0.3818,0.485,0.285,0.231
shit man went go see happy death day hh,-0.5859,0.436,0.215,0.349
happy death day stands among weak lineup wide releases,-0.4767,0.412,0.224,0.364
need see happy death day,-0.0516,0.368,0.349,0.283
happy death day scares box office,-0.3818,0.485,0.285,0.231
happy death day debuts excellent,0.5423,0.293,0.556,0.15
trynna go see happy death day foreigner,-0.0516,0.31,0.294,0.397
need see happy death day,-0.0516,0.368,0.349,0.283
happy death day stands among weak lineup wide releases,-0.4767,0.412,0.224,0.364
mrw hear happy death day made runner,-0.0516,0.31,0.294,0.397
tryna see happy death day tonight,-0.0516,0.336,0.319,0.345
liked video happy death day movie review maniacal cinephile,0.3182,0.311,0.389,0.299
happy death day stands among weak lineup wide releases,-0.4767,0.412,0.224,0.364
box happy death day takes top spot runner,0.1531,0.271,0.382,0.347
box happy death day crushes runner los,-0.4767,0.469,0.255,0.276
weekend box happy death day takes top spot box office opening,0.1531,0.224,0.316,0.46
need happy death day boo,-0.0516,0.368,0.349,0.283
box happy death day crushes runner million,-0.4767,0.469,0.255,0.276
happy death day ahuyenta de primer lugar ap la de terror happy death day,-0.5859,0.406,0.268,0.326
box happy death day crushes runner million,-0.4767,0.469,0.255,0.276
box happy death day crushes runner million,-0.4767,0.469,0.255,0.276
box happy death day crushes runner million,-0.4767,0.469,0.255,0.276
tell dream people kill like happy death day ima stop watching movies smh,-0.7096,0.48,0.3,0.22
gonna watch saw happy death day got,-0.0516,0.31,0.294,0.397
happy death day box,-0.0516,0.406,0.385,0.208
nano prep workshop afternoon catching early showing happy death day,-0.0516,0.25,0.237,0.513
box happy death day wins weekend boffo debut,0.5423,0.239,0.454,0.307
wanna see happy death day bad,-0.5719,0.525,0.262,0.213
happy death day scares box office,-0.3818,0.485,0.285,0.231
happy death day online full movie hd,-0.0516,0.31,0.294,0.397
happy death day stands among weak lineup wide releases,-0.4767,0.412,0.224,0.364
liked video happy death day movie review maniacal cinephile,0.3182,0.311,0.389,0.299
wanna go see happy death day,-0.0516,0.336,0.319,0.345
might see happy death day,-0.0516,0.368,0.349,0.283
happy death day death,-0.6249,0.624,0.296,0.08
happy death day scary killing scene,-0.8316,0.669,0.215,0.116
happy death day stands among weak lineup wide releases,-0.4767,0.412,0.224,0.364
happy death day stands among weak lineup wide releases,-0.4767,0.412,0.224,0.364
happy death day stands among weak lineup wide releases,-0.4767,0.412,0.224,0.364
happy death day stands among weak lineup wide releases,-0.4767,0.412,0.224,0.364
latest hollywood,0.0,0.0,0.0,1.0
happy death day scary killing scene,-0.8316,0.669,0.215,0.116
horror pic happy death day celebrating first place,-0.0516,0.4,0.389,0.211
tenho de ir ver happy death day cinema,-0.0516,0.287,0.272,0.441
someone go see happy death day pleaseeeee,-0.0516,0.31,0.294,0.397
wait happy death day scripted whoooooo,-0.0516,0.336,0.319,0.345
happy death day stands among weak lineup wide releases,-0.4767,0.412,0.224,0.364
wants get canes go see happy death day,-0.0516,0.287,0.272,0.441
cool finally someone almost name,0.3182,0.0,0.365,0.635
psa happy death day horrible movie js,-0.5719,0.49,0.245,0.265
tryna go watch happy death day,-0.0516,0.336,0.319,0.345
happy death day enjoyable get movie scripted xmen comic book,0.4019,0.223,0.377,0.4
happy death day,-0.0516,0.453,0.43,0.116
going see happy death day today guess,-0.0516,0.31,0.294,0.397
watched still watched world wrong,-0.4767,0.437,0.0,0.563
tangna happy death day excited na ko,0.296,0.279,0.436,0.286
happy death day scares box office,-0.3818,0.485,0.285,0.231
clothes days row,0.0,0.0,0.0,1.0
happy death day stands among weak lineup wide releases via cc,-0.4767,0.368,0.2,0.432
happy death day stands among weak lineup wide releases,-0.4767,0.412,0.224,0.364
happy death day stands among weak lineup wide releases,-0.4767,0.412,0.224,0.364
happy death day stands among weak lineup wide releases,-0.4767,0.412,0.224,0.364
happy death day aightttt,-0.0516,0.406,0.385,0.208
happy death day campy little horror comedy plays like new generation,0.2146,0.325,0.452,0.223
give happy death day predictable entertained also lessons learned,0.3612,0.239,0.393,0.368
happy death day cool,0.2732,0.358,0.55,0.092
makes money box office,0.0,0.0,0.0,1.0
director idea sequel,0.0,0.0,0.0,1.0
seeing happy death day,-0.0516,0.406,0.385,0.208
happy death day stands among weak lineup wide releases,-0.4767,0.412,0.224,0.364
blows candles multiplex year studio executives,0.0,0.0,0.0,1.0
happy death day blows candles multiplex,-0.0516,0.336,0.319,0.345
beats box office,0.0,0.0,0.0,1.0
also seeing happy death day girl eller mcmanny,-0.0516,0.287,0.272,0.441
im way excited see even im chaperoning teenagers date,0.34,0.0,0.231,0.769
little girl sitting next theatre see happy death day parents,-0.0516,0.25,0.237,0.513
box happy death day crushes runner million,-0.4767,0.469,0.255,0.276
excited na ko sa happy death day hahahaha sana sa sat yung seven sundays naman huhu,0.296,0.17,0.265,0.565
need see happy death day,-0.0516,0.368,0.349,0.283
happy death day blows candles multiplex,-0.0516,0.336,0.319,0.345
happy death day de rj,-0.0516,0.368,0.349,0.283
box happy death day crushes runner,-0.4767,0.504,0.274,0.222
gonna go movies oversized comfy ass sweater hopefully scared mind happy death day,-0.5994,0.417,0.259,0.324
stellar debut happy death day box office,-0.0516,0.31,0.294,0.397
happy death day opened strong great,0.802,0.229,0.653,0.118
happy death day banger,-0.0516,0.406,0.385,0.208
box happy death day crushes runner million via,-0.4767,0.439,0.239,0.323
happy death day blows candles multiplex,-0.0516,0.336,0.319,0.345
need see happy death day,-0.0516,0.368,0.349,0.283
happy probably wanna watch happy death day lmao,0.8126,0.203,0.589,0.208
gusto ko panoodin bad genius happy death day wt u migs kaso malabo pa sa malabong mata ko,-0.5719,0.295,0.147,0.558
october horror movie happy death day,-0.5994,0.531,0.259,0.21
beats box office,0.0,0.0,0.0,1.0
box office usa pekan lalu pesta pora,0.0,0.0,0.0,1.0
happy death day crushes runner,-0.4767,0.544,0.296,0.16
box happy death day crushes runner million,-0.4767,0.469,0.255,0.276
college girl makes every death count happy death day,-0.6249,0.446,0.211,0.343
box happy death day crushes runner million via,-0.4767,0.439,0.239,0.323
box happy death day crushes runner million,-0.4767,0.469,0.255,0.276
tryna watch happy death day nah internet stupid,-0.6124,0.53,0.226,0.244
happy death day beat blade runner box blade runner even sell,-0.0516,0.235,0.223,0.542
box happy death day crushes runner million via,-0.4767,0.439,0.239,0.323
ommmmmgggg someone take see happy death day,-0.0516,0.31,0.294,0.397
box happy death day crushes runner million,-0.4767,0.469,0.255,0.276
neutral,0.0,0.0,0.0,1.0
box happy death day crushes runner million,-0.4767,0.469,0.255,0.276
box happy death day crushes runner million,-0.4767,0.469,0.255,0.276
happy death day bad,-0.5719,0.612,0.306,0.083
happy death day good movie original era remakes,0.6124,0.232,0.53,0.238
ok literally one comments realized throwing shade happy death day,0.25,0.232,0.351,0.417
box happy death day crushes runner million,-0.4767,0.469,0.255,0.276
broadcast happy death day movie north america,-0.0516,0.31,0.294,0.397
happy death day scares box office,-0.3818,0.485,0.285,0.231
happy death day crushes runner,-0.4767,0.544,0.296,0.16
happy death day et,-0.0516,0.406,0.385,0.208
box happy death day scares weekend,-0.3818,0.485,0.285,0.231
box happy death day crushes runner million,-0.4767,0.469,0.255,0.276
pleasant surprise enjoyed,0.8271,0.0,1.0,0.0
really wanna go see happy death day,-0.0516,0.31,0.294,0.397
go see happy death day,-0.0516,0.368,0.349,0.283
happy death day trash save money,0.4588,0.283,0.5,0.217
literally saw happy death day trailer every day never snapped hard,0.0248,0.231,0.296,0.473
wants see happy death day w us,-0.0516,0.336,0.319,0.345
wanna go see happy death day,-0.0516,0.336,0.319,0.345
someone come see happy death day,-0.0516,0.336,0.319,0.345
liked video happy death day movie review maniacal cinephile,0.3182,0.311,0.389,0.299
horror pic happy death day celebrating first place finish box office weekend,-0.0516,0.33,0.322,0.348
happy death day movie review,-0.0516,0.368,0.349,0.283
wanna see happy death day,-0.0516,0.368,0.349,0.283
rt go watch happy death day,-0.0516,0.336,0.319,0.345
happy death day beats runner box office,-0.0516,0.31,0.294,0.397
weekend box happy death day another win horror hollywood reporter bbfczpvqg,-0.0258,0.344,0.339,0.317
want go see happy death day,0.0258,0.328,0.42,0.252
happy death day definitely one best horror movies ever seen tbh,0.4588,0.314,0.438,0.248
happy death day good low key thinking shorty die oneeeeee,-0.5106,0.46,0.307,0.233
felt spotify youtube kept playing happy death day trailer,0.1531,0.253,0.357,0.39
box happy death day takes top spot runner,0.1531,0.271,0.382,0.347
really wanna go see happy death day,-0.0516,0.31,0.294,0.397
happy death day,-0.0516,0.453,0.43,0.116
happy death day box office,-0.0516,0.368,0.349,0.283
happy death day scares box office facebook,-0.3818,0.45,0.264,0.286
happy death day actually pretty good,0.7096,0.248,0.624,0.127
happy death day skirts cliches keeps guessing identity killer,-0.6705,0.458,0.207,0.335
happy death day actually pretty good movie,0.7096,0.234,0.587,0.18
congratulations star,0.5994,0.0,0.796,0.204
top weekend box happy death day another see,0.1531,0.271,0.382,0.347
someone see happy death day w,-0.0516,0.368,0.349,0.283
happy death day good movie pay go see,0.3182,0.333,0.415,0.252
happy death day crushes runner via,-0.4767,0.504,0.274,0.222
hurricane ophelia prevents seeing happy death day tomorrow literally angry man raging,-0.765,0.469,0.221,0.31
nome msm happy death day,-0.0516,0.368,0.349,0.283
neutral,0.0,0.0,0.0,1.0
happy death day actually pretty good,0.7096,0.248,0.624,0.127
happy death day looks pretty good,0.7096,0.248,0.624,0.127
happy death day,-0.0516,0.453,0.43,0.116
quiero ver happy death day,-0.0516,0.368,0.349,0.283
box office usa happy death day mln foreinger jackie chana mln big mln,-0.0516,0.21,0.199,0.591
