0,Compound_Score,Negative_Score,Positive_Score,Neutral_Score
neutral,0.0,0.0,0.0,1.0
want catch movie check reviews,0.0772,0.0,0.245,0.755
showtime happy death day hmu,-0.0516,0.368,0.349,0.283
happy death day tufff,-0.0516,0.406,0.385,0.208
happy death day another hit review done thistime,-0.0516,0.287,0.272,0.441
huge fan happy death day liked movie jessica seem nice lady jessica coolest jessica,0.8402,0.151,0.539,0.31
im going see later,0.0,0.0,0.0,1.0
ir ver happy death day,-0.0516,0.368,0.349,0.283
happy death day worth ya money,0.1779,0.312,0.448,0.24
finished watching happy death day really get,-0.0516,0.31,0.294,0.397
happy death day oc,-0.0516,0.406,0.385,0.208
pretty sure referring happy death day,0.6486,0.258,0.609,0.132
guess boutta go see,0.0,0.0,0.0,1.0
idk finna watch happy death day,-0.1531,0.442,0.308,0.25
really wanna see happy death day,0.0164,0.329,0.334,0.337
happy death day,-0.0516,0.453,0.43,0.116
happy death day dumb af save yo money,-0.0772,0.398,0.381,0.221
somebody come see happy death day,-0.0516,0.336,0.319,0.345
happy death day director already specific plans sequel would,-0.0516,0.267,0.253,0.479
must see babe jumped sentimental,0.3182,0.0,0.365,0.635
really want go see happy death day,0.101,0.296,0.401,0.303
box happy death day poised exceed initial estimates million,0.2023,0.25,0.365,0.385
happy death day,-0.0516,0.453,0.43,0.116
letting take scary,-0.4939,0.615,0.0,0.385
ravon wanted see happy death day change,-0.0516,0.31,0.294,0.397
happy death day director already specific plans sequel would,-0.0516,0.267,0.253,0.479
tomr watching happy death day wish take u u like oli think u would want,0.6486,0.185,0.483,0.332
want see happy death day really wanna see,0.0258,0.281,0.36,0.36
time see,0.0,0.0,0.0,1.0
ready happy death day,0.3182,0.351,0.559,0.09
wanna go see happy death day tonightttt,-0.0516,0.31,0.294,0.397
good ass movie,-0.1531,0.473,0.392,0.135
happy death day trailers clips movieclips trailer,-0.0516,0.31,0.294,0.397
review happy death day,-0.0516,0.406,0.385,0.208
someone come watch happy death day today,-0.0516,0.31,0.294,0.397
watched happy death day,-0.0516,0.406,0.385,0.208
happy death day,-0.0516,0.453,0.43,0.116
nobody wanna go movies see happy death day,-0.0516,0.287,0.272,0.441
un date ver happy death day,-0.0516,0.336,0.319,0.345
im gonna see happy death day oomfie bye,-0.0516,0.287,0.272,0.441
movie happy death day like,0.3182,0.322,0.512,0.165
see happy death day friday,-0.0516,0.368,0.349,0.283
happy death day,-0.0516,0.453,0.43,0.116
wait happy death day scary ok wish tbh,0.128,0.38,0.46,0.16
excited happy death day,0.296,0.355,0.555,0.091
happy death day features annoying ringtone film,-0.4404,0.462,0.259,0.28
kinda wanna go see happy death day kinda wanna go someone hmu w plans,-0.0516,0.21,0.199,0.591
hell happy death day,-0.7003,0.644,0.28,0.076
want see happy death day,0.0258,0.358,0.459,0.183
wants go big mo tomorrow see happy death day,-0.0516,0.267,0.253,0.479
im tryna go see happy death day,-0.0516,0.31,0.294,0.397
happy death day cool,0.2732,0.358,0.55,0.092
wanna go see happy death day,-0.0516,0.336,0.319,0.345
wanted see happy death day friday broke im going dollar show see annabelle,-0.4588,0.328,0.181,0.49
happy death day,-0.0516,0.453,0.43,0.116
going movies tonight seeing happy death day cuz,-0.0516,0.287,0.272,0.441
happy death day,-0.0516,0.453,0.43,0.116
check review feels like real return teen,0.3612,0.0,0.294,0.706
went see happy death day,-0.0516,0.368,0.349,0.283
watched,0.0,0.0,0.0,1.0
happy death day trash one worst movies ever idea supposed sympathize main character,-0.6486,0.369,0.171,0.461
happy death day boos,-0.0516,0.406,0.385,0.208
happy death day actually really good,0.4576,0.283,0.5,0.218
still waiting girls,0.0,0.0,0.0,1.0
el cuerpo ha dado para el petardeo de,0.34,0.0,0.255,0.745
happy death day actually pretty good,0.7096,0.248,0.624,0.127
happy death day,-0.0516,0.453,0.43,0.116
happy death day came today yay excited see,0.6808,0.224,0.546,0.23
happy death day one better time loopers,0.4019,0.269,0.455,0.276
happy death day,-0.0516,0.453,0.43,0.116
neutral,0.0,0.0,0.0,1.0
dollar margs happy death day,-0.0516,0.368,0.349,0.283
saw great much fun watching movie since,0.8126,0.0,0.597,0.403
someone go watch happy death day need friends lmao,0.7783,0.199,0.546,0.255
watched great movie real,0.6249,0.0,0.577,0.423
happy death day,-0.0516,0.453,0.43,0.116
seeing happy death day today,-0.0516,0.368,0.349,0.283
happy death day sold,-0.0516,0.406,0.385,0.208
someone come see happy death day w,-0.0516,0.336,0.319,0.345
happy death day scream el dia de la sin,-0.7579,0.54,0.196,0.265
neutral,0.0,0.0,0.0,1.0
bro hate scary movies watching happy death day today sos greek part,-0.7964,0.48,0.164,0.356
liked video happy death day world premiere lovebrandimarie,0.3818,0.253,0.422,0.325
scary movies go see happy death day,-0.5267,0.48,0.25,0.27
happy death day,-0.0516,0.453,0.43,0.116
happy death day looks quite interesting,0.4201,0.287,0.492,0.221
really want go see happy death day,0.101,0.296,0.401,0.303
happy death day good,0.4019,0.339,0.574,0.087
ever happy death day time,-0.0516,0.368,0.349,0.283
happy death day actually looks pretty good lmao,0.8689,0.189,0.665,0.146
happy death day one better time loopers,0.4019,0.269,0.455,0.276
okay happy death day probably online wanna see cinema bc love murder mysteries,0.0516,0.326,0.371,0.303
wants go see happy death day,-0.0516,0.336,0.319,0.345
forget pubs today watching happy death day,-0.2732,0.43,0.274,0.296
happy death day good hella plot twist last scene fav part lmao,0.8625,0.16,0.553,0.287
pengen nonton happy death day deh,-0.0516,0.336,0.319,0.345
happy friday,0.5719,0.0,0.787,0.213
anybody wanna go see happy death day,-0.0516,0.31,0.294,0.397
happy death day go waste money,-0.4588,0.5,0.276,0.224
ok kinda wanna get drunk see happy death day,-0.0352,0.356,0.348,0.295
happy death day actually way better expected,0.4019,0.269,0.455,0.276
wanna kill,-0.6908,0.825,0.0,0.175
going see happy death day daughter,-0.0516,0.336,0.319,0.345
want see happy death day,0.0258,0.358,0.459,0.183
ok real happy death day actually good,0.5994,0.248,0.561,0.191
go watch happy death day blown gonna greaaaat,-0.0516,0.287,0.272,0.441
seen happy death day,-0.0516,0.406,0.385,0.208
happy death day,-0.0516,0.453,0.43,0.116
ya quiero ver happy death day,-0.0516,0.336,0.319,0.345
wanted see happy death day,-0.0516,0.368,0.349,0.283
happy death day,-0.0516,0.453,0.43,0.116
happy death day smart take horror genre,-0.296,0.447,0.376,0.176
movie failed soon decided naming happy death day good idea,-0.1531,0.364,0.333,0.303
need opps north chicago tonight,0.0,0.0,0.0,1.0
happy death day came taking lmao,0.5719,0.269,0.524,0.207
happy death day one better time loopers,0.4019,0.269,0.455,0.276
happy death day,-0.0516,0.453,0.43,0.116
producer jason blum talks happy death day pressure surrounding new halloween movie,-0.34,0.324,0.197,0.479
coisas de mineira de estreia morte te happy death day,-0.0516,0.25,0.237,0.513
single bored movies,-0.2732,0.512,0.0,0.488
wanna go see happy death day tonight,-0.0516,0.31,0.294,0.397
happy death day playing theaters bye like us ml,0.4767,0.231,0.473,0.296
youre dont watch happy death day lol,0.4493,0.232,0.459,0.309
happy death day good bad mostly enjoyable jessica,0.2732,0.372,0.477,0.151
aguarde happy death day,-0.0516,0.406,0.385,0.208
happy death day,-0.0516,0.453,0.43,0.116
tryna see happy death day,-0.0516,0.368,0.349,0.283
scared go see happy death day,-0.4767,0.504,0.274,0.222
wanna see happy death day,-0.0516,0.368,0.349,0.283
want go watch happy death day,0.0258,0.328,0.42,0.252
see happy death day,-0.0516,0.406,0.385,0.208
theater see happy death day seen many teenagers one room since high school graduation,-0.0516,0.199,0.189,0.612
wants go see happy death day tonight,-0.0516,0.31,0.294,0.397
thank happy death day fun funny horror perfectly timed friday,0.8402,0.279,0.61,0.11
fucking jokeeeeeee happy death day come theater november france,-0.0478,0.275,0.263,0.462
movies,0.0,0.0,0.0,1.0
happy death day actually good,0.4019,0.312,0.528,0.16
seeing tomorrow,0.0,0.0,0.0,1.0
happy death day one better time loopers,0.4019,0.269,0.455,0.276
want see happy death day,0.0258,0.358,0.459,0.183
many people want see happy death day,0.0258,0.302,0.388,0.31
going watch happy death day probably sit terrible seats,-0.5106,0.419,0.222,0.359
year dativersary watching happy death day gtc beacon brooksville,-0.0516,0.267,0.253,0.479
celebrate seeing,0.5719,0.0,0.787,0.213
watch happy death day bc fun asf movie carter best boy,0.8074,0.176,0.507,0.317
happy death day,-0.0516,0.453,0.43,0.116
happy finally friday see happy death day commercials,0.5423,0.239,0.454,0.307
saw happy death day yorkdale literally worst audience everyone casually chatting scrolling twitter like totally fucking cool really fucked never forget,-0.5033,0.335,0.329,0.336
wanna see happy death day r tickets fucking expensive,-0.0516,0.287,0.272,0.441
happy death day today happy death day today happy death day today happy death day love,0.5267,0.375,0.457,0.168
way see happy death day,-0.0516,0.368,0.349,0.283
liked video happy death day movie review,0.3818,0.271,0.451,0.278
wanted see happy death day,-0.0516,0.368,0.349,0.283
really wanna watch happy death day,0.0164,0.329,0.334,0.337
oh hell ears saw happy death day,-0.7003,0.525,0.228,0.247
wanna go see happy death day,-0.0516,0.336,0.319,0.345
went saw happy death day day pretty good though take much guess killer,0.1531,0.315,0.377,0.308
radio tv daily news,0.0,0.0,0.0,1.0
happy death day,-0.0516,0.453,0.43,0.116
happy death day better good,0.6808,0.271,0.66,0.069
happy death day good israel broussard love life,0.7845,0.209,0.578,0.214
scary movie happy death day gotta husband,-0.5267,0.48,0.25,0.27
sister theater watch happy death day,-0.0516,0.336,0.319,0.345
probably go see happy death day tomorrow,-0.0516,0.31,0.294,0.397
movie bomb,-0.4939,0.762,0.0,0.238
going cinema see happy death day wish,0.3612,0.273,0.448,0.28
scary movie happy death day gotta husband,-0.5267,0.48,0.25,0.27
know happy death day gonna wack ima still watch,-0.0516,0.267,0.253,0.479
acabo de ver happy death day se ha hecho muy entretenida estoy enamorada de tree caleb bi culture finest,0.296,0.15,0.235,0.615
pissed paid see happy death day make fun mentally disabled people,-0.2732,0.367,0.317,0.317
wanna see happy death day,-0.0516,0.368,0.349,0.283
tryna see happy death day,-0.0516,0.368,0.349,0.283
happy death day el,-0.0516,0.406,0.385,0.208
happy death day lidera las carteleras en eeuu,-0.0516,0.287,0.272,0.441
movie,0.0,0.0,0.0,1.0
going,0.0,0.0,0.0,1.0
slept long let happy death day sell next time sure,0.2732,0.231,0.355,0.414
saw happy death day omg absolutely love great movie,0.8648,0.182,0.585,0.233
happy death day surprisingly competent horror spin groundhog day,-0.1027,0.384,0.414,0.202
happy death day amazing,0.5574,0.315,0.605,0.081
kinda wanna go see happy death day,-0.0516,0.31,0.294,0.397
unprofessional,-0.5106,1.0,0.0,0.0
happy death day llega la cartelera en,-0.0516,0.31,0.294,0.397
happy death day looks gud,-0.0516,0.368,0.349,0.283
think may surprise box office,0.2732,0.0,0.344,0.656
know really wanna see happy death day,0.0164,0.303,0.308,0.389
someone go see happy death day weekend,-0.0516,0.31,0.294,0.397
going go watch happy death day fine really finish writing murder either way,-0.6557,0.379,0.235,0.385
alright know one saw happy death day already someone tell worth money,0.4019,0.2,0.39,0.41
en el una vuelta de tuerca divertida original al del,0.3182,0.0,0.204,0.796
also guessed killer think read many mystery novels although lets face fairly easy,-0.34,0.236,0.159,0.604
really great loved everything,0.8615,0.0,0.811,0.189
nood na tayo happy death day,-0.0516,0.336,0.319,0.345
gone wait till saw come gone see happy death day n madea boo,-0.0516,0.222,0.21,0.568
happy death day,-0.0516,0.453,0.43,0.116
watching trailer happy death day multiple times roller coaster emotions like indifference dislike,-0.128,0.352,0.283,0.365
como en happy death day,-0.0516,0.368,0.349,0.283
dinner date babe happy death day,-0.0516,0.336,0.319,0.345
wanna see happy death day,-0.0516,0.368,0.349,0.283
wanted go see happy death day make sense go movies three weekends row,-0.0516,0.21,0.199,0.591
neutral,0.0,0.0,0.0,1.0
go see happy death day,-0.0516,0.368,0.349,0.283
fact happy death day close surpassing blade runner terms opening really makes sad,-0.5542,0.347,0.176,0.477
happy death day applies premise horror genre,-0.5994,0.497,0.242,0.261
watch happy death day haunted trails,-0.5106,0.511,0.27,0.219
ranked happy death day higher,-0.0516,0.368,0.349,0.283
trying watch happy death day today,-0.0516,0.336,0.319,0.345
happy death day w da bootang,-0.0516,0.368,0.349,0.283
happy death day good,0.4019,0.339,0.574,0.087
wait see,0.0,0.0,0.0,1.0
really want see happy death day,0.1672,0.313,0.446,0.241
really wanna see happy death day,0.0164,0.329,0.334,0.337
happy death day moves,-0.0516,0.406,0.385,0.208
wait see happy death day omgggg,-0.0516,0.336,0.319,0.345
think insurance salesmen groundhog day follow murderer around happy death day would make go,-0.7003,0.366,0.159,0.474
neutral,0.0,0.0,0.0,1.0
excited watch happy death day babe,0.296,0.3,0.469,0.231
happy death day definitely recommend,0.6124,0.283,0.645,0.072
happy death day actually pretty interesting,0.6908,0.252,0.619,0.129
currently movies watching happy death day,-0.0516,0.336,0.319,0.345
tryna get high see happy death day hmu,-0.0516,0.287,0.272,0.441
movie wanna see happy death day looks little,-0.0516,0.287,0.272,0.441
counting days finally friday means stop seeing trailers happy death day everywhere go,-0.34,0.308,0.187,0.505
wanna go see happy death day,-0.0516,0.336,0.319,0.345
someone come see happy death day,-0.0516,0.336,0.319,0.345
really tryna see happy death day,0.0164,0.329,0.334,0.337
happy death day,-0.0516,0.453,0.43,0.116
gonna see,0.0,0.0,0.0,1.0
happy death day next jigsaw week,-0.0516,0.336,0.319,0.345
awesome,0.6249,0.0,1.0,0.0
amb mala baba seria divertida,0.0,0.0,0.0,1.0
happy death day actually really,-0.0516,0.368,0.349,0.283
every single person showing happy death day years old wearing white black adidas,-0.0516,0.21,0.199,0.591
im tryna go watch happy death day tonight,-0.0516,0.287,0.272,0.441
im boutta watch happy death day,-0.0516,0.336,0.319,0.345
