username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
thatgirlsaunyae;2017-10-13 10:18;0;2;"somebody come see Happy Death Day with me next weekend";;;;"918843422311682048";https://twitter.com/thatgirlsaunyae/status/918843422311682048
nikolfriday;2017-10-13 10:18;0;0;"happy death day";;;;"918843355999617025";https://twitter.com/nikolfriday/status/918843355999617025
lova_atmojo;2017-10-13 10:18;0;0;"Horror, Mystery, Thriller. HAPPY DEATH DAY tayang midnight besok di bioskop. http://www. 21cineplex.com.convey.pro/l/wEXAqEl by #cinema21 via @c0nvey pic.twitter.com/GucMyQ7t0m";;@c0nvey;#cinema21;"918843325335130113";https://twitter.com/lova_atmojo/status/918843325335130113
Chris_TheGinger;2017-10-13 10:18;0;4;"Happy death day better be good";;;;"918843316590006273";https://twitter.com/Chris_TheGinger/status/918843316590006273
ockwardrunner;2017-10-13 10:17;0;0;"I liked a @YouTube video http:// youtu.be/VSDrBwzk7-U?a Midnight Screenings - Happy Death Day";;@YouTube;;"918843141641424896";https://twitter.com/ockwardrunner/status/918843141641424896
JellBrown;2017-10-13 10:17;0;1;"Happy death day";;;;"918843139040923650";https://twitter.com/JellBrown/status/918843139040923650
adharajuku;2017-10-13 10:16;4;6;"HAPPY DEATH DAY 10/10 RECOMMEND";;;;"918842985017630720";https://twitter.com/adharajuku/status/918842985017630720
markevans1011;2017-10-13 10:16;0;6;"Happy death day movie tonight";;;;"918842897872642049";https://twitter.com/markevans1011/status/918842897872642049
adore_analyse;2017-10-13 10:16;0;0;"Needa see Happy Death Day .";;;;"918842877480001536";https://twitter.com/adore_analyse/status/918842877480001536
YebbieHuitton;2017-10-13 10:16;0;0;"Who wan go see happy death day";;;;"918842876007780352";https://twitter.com/YebbieHuitton/status/918842876007780352
Brodi2x;2017-10-13 10:16;2;0;"really wanna go see Happy Death Day";;;;"918842871465304064";https://twitter.com/Brodi2x/status/918842871465304064
_anjmariee;2017-10-13 10:16;0;1;"I wanna see Happy Death Day tonight";;;;"918842869875658752";https://twitter.com/_anjmariee/status/918842869875658752
Bbrown___;2017-10-13 10:16;0;0;"The snowman movie might be over happy death day";;;;"918842862418178048";https://twitter.com/Bbrown___/status/918842862418178048
_NickyNicole;2017-10-13 10:16;0;0;"That Happy Death Day Movie doesn't look so bad";;;;"918842856797818880";https://twitter.com/_NickyNicole/status/918842856797818880
Chadneyyy_;2017-10-13 10:16;0;1;"I wanna go see happy death day but this nigga wanna be lame";;;;"918842834291232768";https://twitter.com/Chadneyyy_/status/918842834291232768
MissSpoiledGirl;2017-10-13 10:16;2;2;"I actually really want to see Happy Death Day";;;;"918842828687577088";https://twitter.com/MissSpoiledGirl/status/918842828687577088
juicegodkay;2017-10-13 10:16;0;0;"happy death day sounds like a move tonight";;;;"918842817937592320";https://twitter.com/juicegodkay/status/918842817937592320
dudefromthe90;2017-10-13 10:16;0;0;"#HappyDeathDay creo que es el único estreno llamativo de la semana .";;;#HappyDeathDay;"918842780948008960";https://twitter.com/dudefromthe90/status/918842780948008960
vSleepyMami;2017-10-13 10:15;0;0;"@NetflixMENA افا وين happy death day ?";;@NetflixMENA;;"918842756755283971";https://twitter.com/vSleepyMami/status/918842756755283971
__Star27;2017-10-13 10:15;0;0;"I gotta see Happy Death Day this weekend";;;;"918842677839519745";https://twitter.com/__Star27/status/918842677839519745
CravingJabar;2017-10-13 10:15;0;1;"Who really tryna slide to the movies tonight and watch that new Happy Death Day ?";;;;"918842660089077760";https://twitter.com/CravingJabar/status/918842660089077760
LaciaTooFlyy;2017-10-13 10:15;0;0;"i need somebody to go to the movies with tonight i’m trynna see Happy Death Day";;;;"918842653722034176";https://twitter.com/LaciaTooFlyy/status/918842653722034176
BowTieCinemas;2017-10-13 10:15;0;2;"Light it up! #HappyDeathDay Get your tickets to Happy Death Day , in theaters now: http://www. bowtiecinemas.com/movies/happy-d eath-day/ … pic.twitter.com/wYfO217DsV";;;#HappyDeathDay;"918842570264010752";https://twitter.com/BowTieCinemas/status/918842570264010752
Ms_SilverScreen;2017-10-13 10:15;1;1;"October is the most wonderful time of the year at the cinema. Check out my @UniversalHorror #review ! @jessica_rothe https:// mssilverscreen.wordpress.com/2017/10/13/hap py-death-day/ …";;@UniversalHorror @jessica_rothe;#review;"918842547467882499";https://twitter.com/Ms_SilverScreen/status/918842547467882499
youuluvvvkaay;2017-10-13 10:15;0;0;"happy death day comes out tonight and i wanna go see it";;;;"918842534008418304";https://twitter.com/youuluvvvkaay/status/918842534008418304
RabbitInbound;2017-10-13 10:14;0;2;"Happy Friday the 13th anyone else going to go see Happy Death Day ?¿";;;;"918842353321902080";https://twitter.com/RabbitInbound/status/918842353321902080
baddgirrlnay;2017-10-13 10:14;0;0;"Happy death day was good af";;;;"918842337433997313";https://twitter.com/baddgirrlnay/status/918842337433997313
AceG57;2017-10-13 10:14;0;0;"Happy Death Day #FridayThe13th";;;#FridayThe13th;"918842336205066240";https://twitter.com/AceG57/status/918842336205066240
jeffereyrollins;2017-10-13 10:14;2;16;"It's Friday the 13th and the only new horror release is HAPPY DEATH DAY ? Kiss my ass.";;;;"918842313333465095";https://twitter.com/jeffereyrollins/status/918842313333465095
RainbowSprink14;2017-10-13 10:13;0;0;"#FridayThe13th Who's gonna see Happy Death Day ?!";;;#FridayThe13th;"918842221742514176";https://twitter.com/RainbowSprink14/status/918842221742514176
